StudnetID,Degree Level,School,Major Group,Gender Identity,Ethnicity,Domestic or International Status,Outcome,Have Info?,Placement Status,Employer,Industry,Full-time or Part-time,Position Type,Job Title,Job Level,Promotion or Return Offer from an Internship,Total post-graduation job offers,Employment Timing,Annual Salary Amount,Used Wasserman Services,Continuing Education School Name,Continuing Education Degree,Continuning Education Field,City,State,Country
LBTS_2023_2768,Masters,Graduate School of Arts and Science,Computer Science / Data Science/ Engineering/ Game Design,Man,International,International,Working,Yes,Placed,CaseGuard,Computer Science/Technology,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",.NET Developer,Entry-level,Not applicable,1,Before graduation,65000,Yes,,,,Arlington,Virginia,United States of America
LBTS_2023_9196,Bachelors,Tisch School of the Arts,Humanities,Woman,Two or More Races,Domestic,Working,Yes,Placed,Madi Muscle,Hospitality/Tourism/Sports & Recreation,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Community Lead,Entry-level,Promotion from a previously held role,,,,Yes,,,,St. Louis,Missouri,United States of America
LBTS_2023_7700,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Man,White,Domestic,Working,Yes,Placed,Department of Education,Government/Military,Full-time (30+ hours/week),Faculty tenure track position,10th Grade Special Education Teacher,Mid-level,Not applicable,1,Within 3 months of graduation,68000,No,,,,,New York,United States of America
LBTS_2023_12502,Masters,Graduate School of Arts and Science,Humanities,Woman,White,Domestic,Working,Yes,Placed,The Museum of Modern Art,"Arts (Museums, Galleries)",Full-time (30+ hours/week),Internship,12 Month Intern,Entry-level,Return offer from an internship,None – I was not seeking any job offers,Before graduation,47000,Yes,,,,New York,New York,United States of America
LBTS_2023_13757,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Black,Domestic,Working,Yes,Placed,Brooklyn Institute for Liberal Arts,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",12th Grade English Teacher,Mid-level,Not applicable,1,Within 3 months of graduation,74000,Yes,,,,New York,New York,United States of America
LBTS_2023_14781,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Asian/Pacific Islander,Domestic,Working,Yes,Placed,Democracy Prep,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",1st Grade Teacher,Entry-level,Not applicable,2,Within 3 months of graduation,,Yes,,,,New York,New York,United States of America
LBTS_2023_2392,Masters,Graduate School of Arts and Science,Mathematics and Economics,Man,Hispanic,Domestic,Working,Yes,Placed,U.S. Air Force,Government/Military,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",1st Lieutenant,,Not applicable,,,,No,,,,San Antonio,Texas,United States of America
LBTS_2023_5196,Bachelors,Tisch School of the Arts,Computer Science / Data Science/ Engineering/ Game Design,Man,International,International,Working,Yes,Placed,Outfox Games,Computer Science/Technology,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",2D Artist and Game Designer,,,,,,No,,,,Pittsburgh,Pennsylvania,United States of America
LBTS_2023_8534,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Social Sciences/ Social Work,Woman,Hispanic,Domestic,Working,Yes,Placed,Bold Charger School,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",2nd Grade Teacher,Entry-level,Not applicable,4 or more,Within 3 months of graduation,,Yes,,,,New York,New York,United States of America
LBTS_2023_7804,Bachelors,Tisch School of the Arts,Humanities,Man,Black,Domestic,Working,Yes,Placed,Not Available,"Arts (Design, Graphic Design, Photography)",Full-time (30+ hours/week),Freelance (developing one's own projects and selling them to clients),3D Animator,,Not applicable,4 or more,Between 3 and 6 months after graduation,,No,,,,Dallas,Georgia,United States of America
